"Clearance Rate","Colors","Distance Covered In Possession","Distance Covered Not In Possession","Distance Covered","Location","Name","Team","Top Speed","% Passes Completed","Assists","Attempted Clearances","Attempts In The Area","Attempts Off-Target","Attempts On Target","Attempts On-Target From Inside The Area","Attempts On-Target From Outside The Area","Attempts Outside The Area"
"","","","","","Algeria","Cedric SI MOHAMMED","Algeria","","","","","","","","","",""
"","","","","","Algeria","Liassine CADAMURO","Algeria","","","","","","","","","",""
"","","","","","Algeria","Mohamed ZEMMAMOUCHE","Algeria","","","","","","","","","",""
"","","2.1km","4.2km","8.7km","Algeria","Riyad MAHREZ","Algeria","23.9km/h","0.55","","","1","1","0","0","0","0"
"-","","5.0km","10.0km","20.6km","Algeria","Saphir TAIDER","Algeria","25.7km/h","0.74","","0","","","","","",""
"-","Group Stage","4.3km","8.2km","18.0km","Algeria","Medhi LACEN","Algeria","26.6km/h","0.76","","0","","","","","",""
"-","Group Stage","6.8km","6.9km","18.7km","Algeria","Abdelmoumene DJABOU","Algeria","28.1km/h","0.59","1","0","3","1","3","3","0","1"
"-","","0.8km","1.5km","3.1km","Algeria","Hassan YEBDA","Algeria","29.8km/h","0.45","","0","","","","","",""
"-","Group Stage","8.7km","9.0km","24.6km","Algeria","Yacine BRAHIMI","Algeria","30.2km/h","0.73","1","0","2","1","4","1","3","3"
"0.5","","5.1km","10.0km","21.7km","Algeria","Mehdi MOSTEFA","Algeria","28.3km/h","0.6","","4","1","1","1","0","1","1"
"0.67","Knockout Round","10.8km","13.7km","35.9km","Algeria","Islam SLIMANI","Algeria","30.0km/h","0.63","1","3","7","2","7","5","2","2"
"0.67","Group Stage","10.7km","14.4km","34.3km","Algeria","Nabil BENTALEB","Algeria","31.0km/h","0.81","","3","1","1","1","1","0","1"
"0.75","Group Stage","6.3km","9.8km","22.6km","Algeria","Esseid BELKALEM","Algeria","27.0km/h","0.63","","12","1","1","0","0","0","0"
"0.75","","7.2km","8.3km","21.3km","Algeria","Djamel MESBAH","Algeria","31.8km/h","0.8","","4","0","0","1","0","1","1"
"0.8","Knockout Round","11.3km","16.6km","40.1km","Algeria","Rafik HALLICHE","Algeria","27.0km/h","0.75","0","20","2","0","2","2","0","0"
"0.84","Group Stage","9.5km","14.1km","32.6km","Algeria","Carl MEDJANI","Algeria","27.2km/h","0.69","","6","2","2","0","0","0","0"
"1","Knockout Round","3.5km","4.9km","12.4km","Algeria","Rais MBOLHI","Algeria","22.0km/h","0.42","","6","","","","","",""
"1","Group Stage","9.4km","13.7km","32.4km","Algeria","Aissa MANDI","Algeria","27.8km/h","0.72","","6","","","","","",""
"1","Group Stage","4.4km","8.2km","19.0km","Algeria","El Arabi SOUDANI","Algeria","28.3km/h","0.5","","1","","","","","",""
"1","Group Stage","6.8km","9.6km","23.4km","Algeria","Madjid BOUGUERRA","Algeria","29.1km/h","0.79","","6","1","0","1","1","0","0"
"1","Group Stage","1.3km","2.2km","5.6km","Algeria","Nabil GHILAS","Algeria","29.4km/h","0.67","","3","1","1","0","0","0","0"
"1","","5.6km","9.9km","21.7km","Algeria","Faouzi GHOULAM","Algeria","30.5km/h","0.66","","6","1","1","0","0","0","0"
"1","Knockout Round","13.4km","18.3km","45.3km","Algeria","Sofiane FEGHOULI","Algeria","31.1km/h","0.62","2","2","3","3","2","2","0","2"
"","","","","","Argentina","Agustin ORION","Argentina","","","","","","","","","",""
"","","","","","Argentina","Augusto FERNANDEZ","Argentina","","","","","","","","","",""
"","","","","","Argentina","Mariano ANDUJAR","Argentina","","","","","","","","","",""
"","","2.0km","2.0km","5.1km","Argentina","Hugo CAMPAGNARO","Argentina","23.3km/h","0.94","","","","","","","",""
"","","1.3km","1.4km","3.7km","Argentina","Ricardo ALVAREZ","Argentina","30.9km/h","0.85","","","","","","","",""
"-","","2.9km","3.1km","7.6km","Argentina","Maxi RODRIGUEZ","Argentina","25.0km/h","0.84","","0","1","1","1","1","0","1"
"-","Top 4","26.0km","18.8km","62.7km","Argentina","Lionel MESSI","Argentina","30.3km/h","0.68","1","0","7","12","10","3","7","15"
"-","Quarter Finals","13.1km","10.3km","32.0km","Argentina","Sergio AGUERO","Argentina","31.1km/h","0.52","","0","7","3","4","4","0","0"
"-","Group Stage","8.9km","10.6km","26.0km","Argentina","Enzo PEREZ","Argentina","31.2km/h","0.8","","0","0","1","0","0","0","1"
"0.5","Top 4","25.1km","19.2km","63.6km","Argentina","Gonzalo HIGUAIN","Argentina","33.1km/h","0.75","1","4","11","7","6","6","0","2"
"0.78","Knockout Round","16.0km","12.9km","41.2km","Argentina","Federico FERNANDEZ","Argentina","28.7km/h","0.87","","9","3","1","2","2","0","0"
"0.8","","4.5km","4.0km","13.0km","Argentina","Jose Maria BASANTA","Argentina","32.7km/h","0.75","","5","","","","","",""
"0.84","Semi Finals","27.9km","25.5km","72.7km","Argentina","Marcos ROJO","Argentina","31.8km/h","0.72","0","12","5","4","4","3","1","3"
"0.86","Top 4","8.3km","8.2km","24.6km","Argentina","Sergio ROMERO","Argentina","28.8km/h","0.65","","7","","","","","",""
"0.86","Top 4","26.2km","27.6km","76.1km","Argentina","Ezequiel GARAY","Argentina","31.4km/h","0.87","","21","4","4","1","1","0","1"
"0.9","Group Stage","9.4km","12.8km","31.3km","Argentina","Martin DEMICHELIS","Argentina","28.9km/h","0.86","","10","","","","","",""
"1","Top 4","14.9km","18.9km","44.7km","Argentina","Lucas BIGLIA","Argentina","27.4km/h","0.82","","2","0","0","1","0","1","1"
"1","Top 4","30.2km","28.3km","79.1km","Argentina","Pablo ZABALETA","Argentina","29.6km/h","0.78","","12","1","1","0","0","0","0"
"1","Semi Finals","18.3km","14.1km","44.4km","Argentina","Fernando GAGO","Argentina","30.3km/h","0.88","","1","0","1","1","0","1","2"
"1","Top 4","29.5km","30.7km","81.2km","Argentina","Javier MASCHERANO","Argentina","30.3km/h","0.86","","8","0","0","4","0","4","4"
"1","Quarter Finals","8.1km","8.5km","23.1km","Argentina","Rodrigo PALACIO","Argentina","31.4km/h","0.55","","2","5","3","3","3","0","1"
"1","Semi Finals","17.6km","14.8km","43.8km","Argentina","Ezequiel LAVEZZI","Argentina","31.6km/h","0.57","","2","4","0","5","4","1","1"
"1","Quarter Finals","19.6km","13.8km","45.8km","Argentina","Angel DI MARIA","Argentina","33.0km/h","0.66","0","1","9","4","21","8","13","16"
"","","","","","Australia","Bailey WRIGHT","Australia","","","","","","","","","",""
"","","","","","Australia","Dario VIDOSIC","Australia","","","","","","","","","",""
"","","","","","Australia","Eugen GALEKOVIC","Australia","","","","","","","","","",""
"","","","","","Australia","James HOLLAND","Australia","","","","","","","","","",""
"","","","","","Australia","Massimo LUONGO","Australia","","","","","","","","","",""
"","","","","","Australia","Mitch LANGERAK","Australia","","","","","","","","","",""
"","","2.3km","2.9km","6.9km","Australia","Adam TAGGART","Australia","25.8km/h","0.44","","","","","","","",""
"-","Group Stage","6.5km","8.1km","19.4km","Australia","Mark BRESCIANO","Australia","22.3km/h","0.83","","0","3","2","3","2","1","2"
"-","","1.4km","3.1km","5.8km","Australia","Ivan FRANJIC","Australia","26.1km/h","0.69","","0","","","","","",""
"-","","2.1km","3.0km","6.7km","Australia","James TROISI","Australia","27.6km/h","0.63","","0","0","1","0","0","0","1"
"-","Group Stage","11.1km","15.5km","35.4km","Australia","Mile JEDINAK","Australia","29.1km/h","0.79","0","0","1","0","2","1","1","1"
"-","","9.1km","10.9km","26.0km","Australia","Matt McKAY","Australia","30.7km/h","0.79","","0","0","1","0","0","0","1"
"-","Group Stage","10.2km","14.3km","32.8km","Australia","Mathew LECKIE","Australia","31.4km/h","0.75","","0","3","2","3","2","1","2"
"0.34","Group Stage","7.7km","10.8km","24.4km","Australia","Ryan McGOWAN","Australia","27.8km/h","0.7","","3","","","","","",""
"0.5","","5.6km","7.9km","18.5km","Australia","Tim CAHILL","Australia","25.4km/h","0.83","0","2","7","4","3","3","0","0"
"0.9","Group Stage","9.8km","14.0km","31.6km","Australia","Matthew SPIRANOVIC","Australia","26.6km/h","0.88","","10","1","1","1","1","0","1"
"1","","5.5km","6.3km","15.4km","Australia","Oliver BOZANIC","Australia","24.1km/h","0.68","","1","1","0","1","1","0","0"
"1","Group Stage","5.8km","8.1km","18.5km","Australia","Maty RYAN","Australia","26.1km/h","0.85","","4","","","","","",""
"1","Group Stage","9.0km","13.9km","30.8km","Australia","Alex WILKINSON","Australia","26.5km/h","0.83","","7","","","","","",""
"1","","3.0km","5.6km","11.3km","Australia","Mark MILLIGAN","Australia","26.7km/h","0.79","","2","0","0","1","0","1","1"
"1","Group Stage","4.5km","4.6km","12.0km","Australia","Ben HALLORAN","Australia","28.7km/h","0.5","","1","","","","","",""
"1","Group Stage","10.6km","14.7km","32.8km","Australia","Jason DAVIDSON","Australia","30.9km/h","0.67","","1","","","","","",""
"1","Group Stage","7.7km","12.2km","26.1km","Australia","Tommy OAR","Australia","31.9km/h","0.46","","1","0","2","0","0","0","2"
"","","","","","Belgium","Laurent CIMAN","Belgium","","","","","","","","","",""
"","","","","","Belgium","Sammy BOSSUT","Belgium","","","","","","","","","",""
"","","","","","Belgium","Simon MIGNOLET","Belgium","","","","","","","","","",""
"","","1.3km","1.2km","3.3km","Belgium","Thomas VERMAELEN","Belgium","23.8km/h","0.83","","","","","","","",""
"","","3.6km","4.0km","10.4km","Belgium","Anthony VANDEN BORRE","Belgium","25.6km/h","0.69","","","","","","","",""
"","Knockout Round","7.1km","5.6km","18.8km","Belgium","Romelu LUKAKU","Belgium","28.7km/h","0.62","0","","5","0","6","5","1","1"
"-","","3.2km","3.8km","10.1km","Belgium","Nicolas LOMBAERTS","Belgium","25.4km/h","0.81","","0","","","","","",""
"-","","2.0km","1.7km","5.3km","Belgium","Steven DEFOUR","Belgium","26.5km/h","0.79","","0","","","","","",""
"-","Quarter Finals","16.8km","13.2km","42.1km","Belgium","Eden HAZARD","Belgium","28.1km/h","0.75","","0","3","1","6","2","4","4"
"-","","7.0km","6.1km","18.1km","Belgium","Moussa DEMBELE","Belgium","29.4km/h","0.84","","0","0","1","0","0","0","1"
"-","Quarter Finals","11.5km","9.7km","30.4km","Belgium","Divock ORIGI","Belgium","30.7km/h","0.62","0","0","6","2","9","4","5","5"
"-","Knockout Round","18.5km","17.0km","50.3km","Belgium","Kevin DE BRUYNE","Belgium","31.0km/h","0.7","2","0","2","3","7","1","6","8"
"-","","2.1km","2.4km","6.6km","Belgium","Adnan JANUZAJ","Belgium","31.1km/h","0.54","","0","","","","","",""
"-","Knockout Round","5.4km","4.5km","13.7km","Belgium","Nacer CHADLI","Belgium","31.6km/h","0.8","","0","2","1","3","2","1","2"
"0.63","Knockout Round","16.7km","15.4km","45.7km","Belgium","Toby ALDERWEIRELD","Belgium","29.6km/h","0.7","","8","0","1","1","0","1","2"
"1","Quarter Finals","7.1km","6.6km","20.4km","Belgium","Thibaut COURTOIS","Belgium","19.3km/h","0.68","","3","","","","","",""
"1","Knockout Round","14.5km","15.6km","42.9km","Belgium","Vincent KOMPANY","Belgium","28.7km/h","0.85","","10","2","1","1","1","0","0"
"1","Knockout Round","9.9km","9.6km","27.8km","Belgium","Kevin MIRALLAS","Belgium","29.4km/h","0.65","","1","5","2","4","4","0","1"
"1","Quarter Finals","11.0km","9.5km","30.2km","Belgium","Dries MERTENS","Belgium","29.8km/h","0.5","0","1","6","5","6","3","3","5"
"1","Knockout Round","16.5km","15.9km","45.7km","Belgium","Axel WITSEL","Belgium","30.0km/h","0.9","","7","1","4","5","0","5","8"
"1","Quarter Finals","18.9km","19.5km","55.4km","Belgium","Marouane FELLAINI","Belgium","30.3km/h","0.72","0","3","6","5","2","2","0","1"
"1","Quarter Finals","16.2km","17.1km","47.2km","Belgium","Jan VERTONGHEN","Belgium","31.2km/h","0.71","0","7","5","5","5","3","2","5"
"1","Quarter Finals","17.3km","19.3km","52.7km","Belgium","Daniel VAN BUYTEN","Belgium","31.6km/h","0.84","","17","4","2","3","2","1","1"
"","","","","","Bosnia","Asmir AVDUKIC","Bosnia","","","","","","","","","",""
"","","","","","Bosnia","Jasmin FEJZIC","Bosnia","","","","","","","","","",""
"","","","","","Bosnia","Senijad IBRICIC","Bosnia","","","","","","","","","",""
"","","1.6km","1.5km","4.1km","Bosnia","Edin VISCA","Bosnia","25.2km/h","0.42","","","1","1","2","0","2","2"
"","","5.8km","5.4km","14.1km","Bosnia","Izet HAJROVIC","Bosnia","28.3km/h","0.72","","","1","1","4","1","3","4"
"","Group Stage","11.8km","9.1km","28.2km","Bosnia","Edin DZEKO","Bosnia","29.4km/h","0.68","0","","9","4","8","7","1","3"
"-","","4.2km","3.7km","9.9km","Bosnia","Haris MEDUNJANIN","Bosnia","26.3km/h","0.86","","0","0","2","0","0","0","2"
"-","Group Stage","7.7km","5.0km","18.2km","Bosnia","Vedad IBISEVIC","Bosnia","26.7km/h","0.76","0","0","4","2","3","3","0","1"
"-","Group Stage","14.4km","12.0km","34.5km","Bosnia","Miralem PJANIC","Bosnia","28.7km/h","0.84","1","0","2","1","6","2","4","5"
"-","","6.1km","6.9km","16.7km","Bosnia","Senad LULIC","Bosnia","29.4km/h","0.75","","0","1","0","2","1","1","1"
"-","","4.7km","3.0km","10.8km","Bosnia","Avdija VRSAJEVIC","Bosnia","32.1km/h","0.75","0","0","2","1","1","1","0","0"
"0.34","","7.2km","7.3km","18.2km","Bosnia","Mensur MUJDZA","Bosnia","29.6km/h","0.8","","6","","","","","",""
"0.34","Group Stage","13.4km","13.3km","34.9km","Bosnia","Muhamed BESIC","Bosnia","31.2km/h","0.87","","3","0","3","1","0","1","4"
"0.5","","1.3km","1.1km","3.7km","Bosnia","Ognjen VRANJES","Bosnia","28.0km/h","0.72","","2","","","","","",""
"0.5","","8.0km","7.7km","21.1km","Bosnia","Sead KOLASINAC","Bosnia","31.1km/h","0.86","","2","1","0","1","1","0","0"
"0.88","Group Stage","11.8km","11.5km","31.3km","Bosnia","Emir SPAHIC","Bosnia","29.6km/h","0.86","","8","","","","","",""
"0.89","","7.9km","6.7km","20.1km","Bosnia","Toni SUNJIC","Bosnia","27.9km/h","0.86","","9","","","","","",""
"1","Group Stage","5.4km","5.1km","14.8km","Bosnia","Asmir BEGOVIC","Bosnia","16.6km/h","0.77","","1","","","","","",""
"1","","2.3km","2.0km","6.0km","Bosnia","Sejad SALIHOVIC","Bosnia","25.0km/h","0.55","","1","","","","","",""
"1","","7.7km","7.1km","19.0km","Bosnia","Zvjezdan MISIMOVIC","Bosnia","25.6km/h","0.71","","1","0","2","1","0","1","3"
"1","","3.8km","2.0km","7.9km","Bosnia","Anel HADZIC","Bosnia","29.1km/h","0.78","","2","","","","","",""
"1","","3.9km","4.4km","10.9km","Bosnia","Ermin BICAKCIC","Bosnia","29.2km/h","0.67","","2","","","","","",""
"1","","6.0km","3.8km","13.5km","Bosnia","Tino Sven SUSIC","Bosnia","29.4km/h","0.75","","1","0","0","1","0","1","1"
"","","","","","Brazil","JEFFERSON","Brazil","","","","","","","","","",""
"","","","","","Brazil","VICTOR","Brazil","","","","","","","","","",""
"","Semi Finals","17.3km","13.8km","47.2km","Brazil","FRED","Brazil","27.8km/h","0.62","0","","8","2","9","6","3","3"
"","Group Stage","7.3km","5.9km","19.1km","Brazil","JO","Brazil","30.9km/h","0.64","","","3","2","1","1","0","0"
"-","","0.1km","0.4km","0.9km","Brazil","HENRIQUE","Brazil","19.7km/h","1","","0","","","","","",""
"-","Group Stage","2.9km","2.7km","8.7km","Brazil","HERNANES","Brazil","29.7km/h","0.65","","0","","","","","",""
"-","Quarter Finals","18.5km","15.9km","49.9km","Brazil","NEYMAR","Brazil","31.8km/h","0.63","1","0","8","5","13","8","5","10"
"-","Group Stage","7.5km","6.9km","19.0km","Brazil","BERNARD","Brazil","31.8km/h","0.73","","0","1","1","0","0","0","0"
"0.5","Semi Finals","18.7km","15.0km","46.9km","Brazil","PAULINHO","Brazil","28.1km/h","0.77","","2","7","2","6","6","0","1"
"0.63","Semi Finals","22.4km","22.9km","62.9km","Brazil","LUIZ GUSTAVO","Brazil","31.4km/h","0.83","","8","0","1","2","0","2","3"
"0.66","Semi Finals","15.7km","17.1km","50.7km","Brazil","Thiago SILVA","Brazil","31.6km/h","0.84","1","23","1","0","2","1","1","1"
"0.67","Quarter Finals","11.6km","12.0km","34.8km","Brazil","FERNANDINHO","Brazil","30.5km/h","0.85","0","9","3","2","2","2","0","1"
"0.75","Semi Finals","15.3km","13.2km","41.2km","Brazil","HULK","Brazil","30.3km/h","0.58","","4","9","7","8","5","3","6"
"0.84","Top 4","21.8km","21.5km","63.2km","Brazil","DAVID LUIZ","Brazil","29.1km/h","0.77","1","18","4","2","7","2","5","5"
"1","Top 4","8.2km","7.2km","26.3km","Brazil","JULIO CESAR","Brazil","24.7km/h","0.76","","3","","","","","",""
"1","","3.4km","4.1km","9.5km","Brazil","DANTE","Brazil","25.2km/h","0.89","","3","","","","","",""
"1","Top 4","26.0km","23.8km","70.6km","Brazil","OSCAR","Brazil","27.8km/h","0.68","1","6","6","3","11","4","7","8"
"1","Knockout Round","16.3km","15.3km","44.5km","Brazil","Dani ALVES","Brazil","28.9km/h","0.78","","2","0","3","2","0","2","5"
"1","","4.0km","3.2km","10.2km","Brazil","MAXWELL","Brazil","30.0km/h","0.81","","2","0","1","0","0","0","1"
"1","Group Stage","10.8km","10.3km","29.8km","Brazil","MAICON","Brazil","30.5km/h","0.81","","1","0","1","1","0","1","2"
"1","Semi Finals","21.3km","20.7km","59.7km","Brazil","MARCELO","Brazil","30.5km/h","0.77","","4","1","4","3","0","3","6"
"1","Top 4","12.1km","11.7km","32.9km","Brazil","RAMIRES","Brazil","31.1km/h","0.7","","3","2","2","4","1","3","4"
"1","Quarter Finals","7.8km","6.6km","19.5km","Brazil","WILLIAN","Brazil","31.1km/h","0.83","","1","1","1","1","1","0","1"
"","","","","","Cameroon","Fabrice OLINGA","Cameroon","","","","","","","","","",""
"","","","","","Cameroon","Loic FEUDJOU","Cameroon","","","","","","","","","",""
"","","","","","Cameroon","Sammy NDJOCK","Cameroon","","","","","","","","","",""
"","","0.3km","0.4km","1.1km","Cameroon","Jean MAKOUN","Cameroon","21.0km/h","0.75","","","","","","","",""
"","","3.8km","4.9km","12.8km","Cameroon","Alexandre SONG","Cameroon","25.8km/h","0.88","","","0","0","1","0","1","1"
"","","2.4km","2.5km","7.5km","Cameroon","Samuel ETOO","Cameroon","28.8km/h","0.7","","","1","2","0","0","0","1"
"-","","3.2km","3.9km","10.2km","Cameroon","Landry NGUEMO","Cameroon","24.1km/h","0.85","","0","0","2","0","0","0","2"
"-","Group Stage","2.0km","2.1km","6.2km","Cameroon","Pierre WEBO","Cameroon","24.3km/h","0.48","","0","2","1","1","1","0","0"
"-","","1.1km","2.1km","5.0km","Cameroon","Cedric DJEUGOUE","Cameroon","28.1km/h","0.6","","0","","","","","",""
"-","Group Stage","9.4km","12.5km","31.8km","Cameroon","Eyong ENOH","Cameroon","28.3km/h","0.8","","0","1","2","3","1","2","4"
"-","","4.3km","5.0km","14.1km","Cameroon","Vincent ABOUBAKAR","Cameroon","29.4km/h","0.74","","0","3","3","2","1","1","2"
"-","","2.8km","3.6km","9.0km","Cameroon","Henri BEDIMO","Cameroon","30.9km/h","0.84","","0","","","","","",""
"-","","2.1km","2.0km","5.9km","Cameroon","Edgar SALLI","Cameroon","31.2km/h","0.6","","0","","","","","",""
"-","","3.1km","4.1km","10.0km","Cameroon","Dany NOUNKEU","Cameroon","31.6km/h","0.76","","1","1","2","0","0","0","1"
"0.73","Group Stage","6.8km","10.1km","25.1km","Cameroon","Nicolas NKOULOU","Cameroon","31.1km/h","0.88","","11","0","1","0","0","0","1"
"0.86","Group Stage","2.7km","3.8km","10.7km","Cameroon","Charles ITANDJE","Cameroon","21.6km/h","0.6","","7","","","","","",""
"1","Group Stage","7.7km","9.4km","25.6km","Cameroon","Eric CHOUPO MOTING","Cameroon","28.1km/h","0.64","","2","1","2","3","0","3","4"
"1","","3.3km","4.9km","12.9km","Cameroon","Aurelien CHEDJOU","Cameroon","28.7km/h","0.77","","6","1","1","1","1","0","1"
"1","","3.0km","3.7km","9.7km","Cameroon","Allan NYOM","Cameroon","29.4km/h","0.74","","1","1","0","1","1","0","0"
"1","Group Stage","8.9km","12.0km","31.5km","Cameroon","Stephane MBIA","Cameroon","29.8km/h","0.8","","1","2","4","0","0","0","2"
"1","","5.2km","7.2km","18.8km","Cameroon","Benoit ASSOU EKOTTO","Cameroon","30.3km/h","0.66","","6","0","1","1","0","1","2"
"1","Group Stage","7.9km","9.6km","26.1km","Cameroon","Benjamin MOUKANDJO","Cameroon","30.7km/h","0.49","","1","2","2","2","1","1","2"
"1","","5.1km","6.7km","18.0km","Cameroon","Joel MATIP","Cameroon","30.9km/h","0.7","0","4","2","0","2","2","0","0"
"","","","","","Chile","Cristopher TOSELLI","Chile","","","","","","","","","",""
"","","","","","Chile","Esteban PAREDES","Chile","","","","","","","","","",""
"","","","","","Chile","Fabian ORELLANA","Chile","","","","","","","","","",""
"","","","","","Chile","Johnny HERRERA","Chile","","","","","","","","","",""
"","","","","","Chile","Jose FUENZALIDA","Chile","","","","","","","","","",""
"","","","","","Chile","Miiko ALBORNOZ","Chile","","","","","","","","","",""
"","","0.3km","0.5km","1.4km","Chile","Jose ROJAS","Chile","25.4km/h","","","","","","","","",""
"","Group Stage","5.1km","2.7km","11.2km","Chile","Jorge VALDIVIA","Chile","27.0km/h","0.78","0","","2","0","2","2","0","0"
"","Knockout Round","11.5km","10.7km","31.7km","Chile","Eduardo VARGAS","Chile","29.1km/h","0.72","2","","3","1","3","2","1","1"
"","","3.1km","2.5km","8.1km","Chile","Jean BEAUSEJOUR","Chile","29.1km/h","0.5","0","","0","0","1","0","1","1"
"-","","0.3km","0.5km","1.2km","Chile","Carlos CARMONA","Chile","23.4km/h","0.67","","0","","","","","",""
"-","Group Stage","10.9km","10.2km","28.6km","Chile","Arturo VIDAL","Chile","27.4km/h","0.77","","0","1","1","0","0","0","0"
"-","Group Stage","2.1km","1.7km","6.1km","Chile","Mauricio PINILLA","Chile","28.1km/h","0.5","","2","2","2","2","1","1","2"
"-","Knockout Round","14.8km","12.7km","40.0km","Chile","Alexis SANCHEZ","Chile","31.1km/h","0.61","1","0","3","3","4","3","1","4"
"0.67","Knockout Round","9.5km","7.8km","25.2km","Chile","Felipe GUTIERREZ","Chile","27.2km/h","0.76","","3","3","3","0","0","0","0"
"0.7","Knockout Round","8.0km","6.8km","23.4km","Chile","Claudio BRAVO","Chile","27.2km/h","0.68","","10","","","","","",""
"0.75","Knockout Round","16.7km","16.0km","45.9km","Chile","Eugenio MENA","Chile","30.6km/h","0.71","","8","1","1","1","1","0","1"
"0.84","Knockout Round","16.3km","15.3km","44.4km","Chile","Mauricio ISLA","Chile","28.7km/h","0.77","","6","2","1","1","1","0","0"
"0.96","Knockout Round","13.8km","13.2km","39.3km","Chile","Gary MEDEL","Chile","28.9km/h","0.91","","22","1","1","0","0","0","0"
