"Clearance Rate","Colors","Distance Covered In Possession","Distance Covered Not In Possession","Distance Covered","Location","Name","Team","Top Speed","% Passes Completed","Assists","Attempted Clearances","Attempts In The Area","Attempts Off-Target","Attempts On Target","Attempts On-Target From Inside The Area","Attempts On-Target From Outside The Area","Attempts Outside The Area"
"0.95","Top 4","27.4km","24.3km","70.2km","Germany","Jerome BOATENG","Germany","31.1km/h","0.82","","18","0","0","1","0","1","1"
"1","Semi Finals","26.1km","20.4km","63.2km","Germany","Bastian SCHWEINSTEIGER","Germany","29.2km/h","0.88","","9","3","3","3","1","2","3"
"1","Top 4","34.5km","26.4km","84.0km","Germany","Thomas MUELLER","Germany","30.5km/h","0.69","3","3","12","6","10","7","3","4"
"1","Group Stage","6.4km","4.2km","14.6km","Germany","Shkodran MUSTAFI","Germany","32.9km/h","0.8","","1","1","0","1","1","0","0"
"","","","","","Ghana","Rashid SUMAILA","Ghana","","","","","","","","","",""
"","","","","","Ghana","Samuel INKOOM","Ghana","","","","","","","","","",""
"","","","","","Ghana","Stephen ADAMS","Ghana","","","","","","","","","",""
"","","0.9km","0.6km","2.2km","Ghana","Albert ADOMAH","Ghana","26.5km/h","0.67","","","","","","","",""
"","","7.2km","9.5km","22.0km","Ghana","Harrison AFFUL","Ghana","29.9km/h","0.67","","","","","","","",""
"","","3.8km","3.9km","10.3km","Ghana","Kevin Prince BOATENG","Ghana","30.9km/h","0.72","","","1","3","0","0","0","2"
"","Group Stage","10.3km","9.1km","28.2km","Ghana","Asamoah GYAN","Ghana","32.3km/h","0.54","1","","12","11","7","6","1","6"
"-","","1.5km","1.2km","4.4km","Ghana","Adam KWARASEY","Ghana","16.9km/h","0.81","","0","","","","","",""
"-","","1.2km","1.8km","4.4km","Ghana","Mubarak WAKASO","Ghana","25.2km/h","0.73","","0","0","2","0","0","0","2"
"-","","1.1km","0.8km","2.7km","Ghana","Michael ESSIEN","Ghana","26.3km/h","0.84","","0","1","0","1","1","0","0"
"-","","0.7km","1.1km","2.5km","Ghana","Acquah AFRIYIE","Ghana","28.5km/h","0.78","","0","","","","","",""
"-","","3.8km","2.9km","9.7km","Ghana","Daniel OPARE","Ghana","28.5km/h","0.65","","0","","","","","",""
"-","Group Stage","9.8km","11.6km","29.4km","Ghana","Mohammed RABIU","Ghana","29.1km/h","0.78","","1","","","","","",""
"-","","2.8km","2.9km","8.1km","Ghana","Majeed WARIS","Ghana","30.3km/h","0.54","","0","1","1","0","0","0","0"
"-","Group Stage","11.4km","10.5km","30.5km","Ghana","Andre AYEW","Ghana","31.0km/h","0.73","0","0","5","1","4","4","0","0"
"-","Group Stage","5.6km","4.9km","15.8km","Ghana","Jordan AYEW","Ghana","31.2km/h","0.76","","0","3","0","5","3","2","2"
"0.67","","2.5km","3.3km","8.4km","Ghana","Fatawu DAUDA","Ghana","23.9km/h","0.55","","3","","","","","",""
"0.84","Group Stage","9.7km","11.2km","29.7km","Ghana","Jonathan MENSAH","Ghana","28.5km/h","0.83","","6","2","3","0","0","0","1"
"0.86","Group Stage","9.4km","11.4km","29.3km","Ghana","John BOYE","Ghana","30.2km/h","0.82","","7","1","2","0","0","0","1"
"1","","8.0km","8.4km","22.5km","Ghana","Sulley MUNTARI","Ghana","26.3km/h","0.71","","1","0","4","1","0","1","5"
"1","Group Stage","10.8km","10.5km","29.6km","Ghana","Christian ATSU","Ghana","30.3km/h","0.66","","1","1","5","4","0","4","8"
"1","","4.3km","5.6km","13.6km","Ghana","Emmanuel BADU","Ghana","30.5km/h","0.86","","1","0","2","0","0","0","2"
"1","Group Stage","10.3km","10.9km","29.6km","Ghana","Kwadwo ASAMOAH","Ghana","30.9km/h","0.79","","5","0","1","2","0","2","3"
"","","","","","Greece","Alexandros TZIOLIS","Greece","","","","","","","","","",""
"","","","","","Greece","Georgios TZAVELAS","Greece","","","","","","","","","",""
"","","","","","Greece","Loukas VYNTRA","Greece","","","","","","","","","",""
"","","","","","Greece","Panagiotis TACHTSIDIS","Greece","","","","","","","","","",""
"","","","","","Greece","Stefanos KAPINO","Greece","","","","","","","","","",""
"","","","","","Greece","Vangelis MORAS","Greece","","","","","","","","","",""
"","Knockout Round","7.2km","6.0km","19.9km","Greece","Theofanis GEKAS","Greece","28.3km/h","0.67","","","5","3","2","2","0","0"
"","Group Stage","4.8km","4.4km","13.4km","Greece","Konstantinos MITROGLOU","Greece","28.8km/h","0.77","","","3","1","4","3","1","2"
"-","Knockout Round","6.0km","5.0km","18.7km","Greece","Orestis KARNEZIS","Greece","21.8km/h","0.72","","0","","","","","",""
"-","","8.1km","6.9km","21.9km","Greece","Lazaros CHRISTODOULOPOULOS","Greece","28.9km/h","0.77","","0","4","8","1","1","0","5"
"-","","2.8km","3.7km","9.0km","Greece","Ioannis FETFATZIDIS","Greece","29.1km/h","0.68","","0","","","","","",""
"-","Knockout Round","8.8km","9.0km","26.4km","Greece","Dimitrios SALPINGIDIS","Greece","30.7km/h","0.6","","0","1","0","3","1","2","2"
"-","Knockout Round","14.0km","13.5km","41.1km","Greece","Georgios SAMARAS","Greece","31.0km/h","0.69","1","0","6","4","3","3","0","1"
"0.2","Knockout Round","11.9km","15.5km","39.4km","Greece","Ioannis MANIATIS","Greece","30.2km/h","0.81","","5","0","0","2","0","2","2"
"0.5","Knockout Round","9.5km","11.2km","31.0km","Greece","Georgios KARAGOUNIS","Greece","24.9km/h","0.83","","2","0","2","5","0","5","7"
"0.67","","5.1km","6.2km","16.5km","Greece","Andreas SAMARIS","Greece","28.7km/h","0.84","0","3","1","0","3","1","2","2"
"0.82","Knockout Round","10.2km","12.9km","35.7km","Greece","Konstantinos MANOLAS","Greece","30.5km/h","0.84","","11","1","1","0","0","0","0"
"0.86","Knockout Round","13.2km","14.3km","40.9km","Greece","Vasileios TOROSIDIS","Greece","29.8km/h","0.66","","7","3","4","1","1","0","2"
"0.86","Knockout Round","13.1km","14.4km","41.3km","Greece","Jose CHOLEVAS","Greece","30.5km/h","0.73","","7","1","1","2","1","1","2"
"0.86","Knockout Round","11.3km","13.1km","37.4km","Greece","Sokratis PAPASTATHOPOULOS","Greece","31.0km/h","0.8","0","14","2","1","1","1","0","0"
"1","","1.1km","1.0km","3.7km","Greece","Panagiotis GLYKOS","Greece","23.2km/h","0.65","","1","","","","","",""
"1","Group Stage","7.0km","6.9km","20.1km","Greece","Konstantinos KATSOURANIS","Greece","30.0km/h","0.79","","2","1","0","1","1","0","0"
"1","Group Stage","6.6km","7.3km","20.2km","Greece","Panagiotis KONE","Greece","30.3km/h","0.59","","1","1","3","2","0","2","4"
"","","","","","Honduras","Donis ESCOBER","Honduras","","","","","","","","","",""
"","","","","","Honduras","Edder DELGADO","Honduras","","","","","","","","","",""
"","","","","","Honduras","Juan MONTES","Honduras","","","","","","","","","",""
"","","","","","Honduras","Luis LOPEZ","Honduras","","","","","","","","","",""
"","","","","","Honduras","Rony MARTINEZ","Honduras","","","","","","","","","",""
"","","0.9km","0.6km","2.2km","Honduras","Mario MARTINEZ","Honduras","25.2km/h","0.79","","","0","0","2","0","2","2"
"","","2.5km","1.7km","5.7km","Honduras","Jerry PALACIOS","Honduras","27.4km/h","0.8","","","1","1","0","0","0","0"
"","","2.2km","1.8km","5.5km","Honduras","Marvin CHAVEZ","Honduras","28.5km/h","0.61","","","","","","","",""
"","","2.7km","3.7km","8.4km","Honduras","Andy NAJAR","Honduras","31.6km/h","0.65","","","1","0","1","1","0","0"
"-","","0.9km","2.4km","4.5km","Honduras","Osman CHAVEZ","Honduras","26.4km/h","1","","0","","","","","",""
"-","","5.3km","9.6km","20.1km","Honduras","Luis GARRIDO","Honduras","29.4km/h","0.76","","0","","","","","",""
"0.5","","5.7km","4.5km","13.9km","Honduras","Juan Carlos GARCIA","Honduras","31.1km/h","0.8","","2","0","1","0","0","0","1"
"0.75","Group Stage","6.3km","7.6km","20.1km","Honduras","Victor BERNARDEZ","Honduras","28.7km/h","0.75","","4","1","1","1","0","1","1"
"0.75","Group Stage","8.0km","7.4km","22.2km","Honduras","Jerry BENGTSON","Honduras","30.2km/h","0.75","","4","2","1","3","2","1","2"
"0.8","Group Stage","8.2km","10.6km","26.3km","Honduras","Maynor FIGUEROA","Honduras","31.6km/h","0.73","","5","1","4","1","0","1","4"
"1","Group Stage","2.7km","3.4km","10.0km","Honduras","Noel VALLADARES","Honduras","15.0km/h","0.76","","3","","","","","",""
"1","","4.6km","4.9km","12.5km","Honduras","Wilson PALACIOS","Honduras","25.8km/h","0.88","","2","0","1","1","0","1","2"
"1","Group Stage","8.2km","10.4km","25.7km","Honduras","Roger ESPINOZA","Honduras","27.9km/h","0.76","","2","0","1","3","0","3","4"
"1","Group Stage","10.0km","11.6km","29.7km","Honduras","Brayan BECKELES","Honduras","28.8km/h","0.75","","3","1","3","1","0","1","3"
"1","Group Stage","7.6km","8.0km","21.4km","Honduras","Boniek GARCIA","Honduras","29.0km/h","0.71","","1","1","0","2","1","1","1"
"1","","3.6km","6.5km","13.9km","Honduras","Emilio IZAGUIRRE","Honduras","29.1km/h","0.7","","7","","","","","",""
"1","Group Stage","8.4km","9.3km","23.9km","Honduras","Jorge CLAROS","Honduras","29.8km/h","0.88","","1","0","1","1","0","1","2"
"1","Group Stage","7.1km","8.5km","22.3km","Honduras","Carlo COSTLY","Honduras","30.3km/h","0.56","0","1","2","2","1","1","0","1"
"","","","","","Iran","Ahmad ALNAMEH","Iran","","","","","","","","","",""
"","","","","","Iran","Bakhtiar RAHMANI","Iran","","","","","","","","","",""
"","","","","","Iran","Daniel DAVARI","Iran","","","","","","","","","",""
"","","","","","Iran","Ghasem HADADIFAR","Iran","","","","","","","","","",""
"","","","","","Iran","Hashem BEIKZADEH","Iran","","","","","","","","","",""
"","","","","","Iran","Hossein MAHINI","Iran","","","","","","","","","",""
"","","","","","Iran","Rahman AHMADI","Iran","","","","","","","","","",""
"","","","","","Iran","Steven BEITASHOUR","Iran","","","","","","","","","",""
"","","0.2km","0.5km","0.9km","Iran","Reza HAGHIGHI","Iran","20.1km/h","0.67","","","","","","","",""
"","","0.9km","1.2km","3.0km","Iran","Karim ANSARI FARD","Iran","24.9km/h","1","","","","","","","",""
"-","Group Stage","2.0km","2.9km","7.3km","Iran","Alireza JAHAN BAKHSH","Iran","30.0km/h","0.56","","0","0","0","1","0","1","1"
"-","Group Stage","6.3km","11.3km","25.4km","Iran","Ashkan DEJAGAH","Iran","30.9km/h","0.45","","0","1","0","1","1","0","0"
"0.25","Group Stage","7.5km","15.9km","32.8km","Iran","Andranik TIMOTIAN","Iran","30.2km/h","0.69","","4","0","1","1","0","1","2"
"0.67","Group Stage","7.3km","13.7km","30.2km","Iran","Pejman MONTAZERI","Iran","31.2km/h","0.74","","6","","","","","",""
"0.75","Group Stage","3.0km","4.8km","12.7km","Iran","Alireza HAGHIGHI","Iran","20.6km/h","0.47","","4","","","","","",""
"0.82","Group Stage","7.8km","15.0km","32.6km","Iran","Javad NEKOUNAM","Iran","27.2km/h","0.7","","11","","","","","",""
"0.83","Group Stage","6.4km","12.5km","28.0km","Iran","Amirhossein SADEGHI","Iran","25.8km/h","0.84","","17","","","","","",""
"1","Group Stage","3.2km","6.8km","14.9km","Iran","Masoud SHOJAEI","Iran","27.6km/h","0.55","","1","1","1","0","0","0","0"
"1","Group Stage","6.9km","13.3km","28.5km","Iran","Ehsan HAJI SAFI","Iran","28.9km/h","0.59","","3","1","2","3","1","2","4"
"1","Group Stage","6.8km","12.9km","27.9km","Iran","Mehrdad POOLADI","Iran","29.2km/h","0.67","","8","","","","","",""
"1","Group Stage","7.9km","13.9km","32.0km","Iran","Reza GHOOCHANNEJAD","Iran","30.1km/h","0.58","0","2","5","4","6","4","2","5"
"1","Group Stage","6.3km","12.5km","27.6km","Iran","Jalal HOSSEINI","Iran","30.2km/h","0.63","","10","2","2","0","0","0","0"
"1","Group Stage","5.5km","8.4km","19.6km","Iran","Khosro HEYDARI","Iran","30.3km/h","0.61","","1","","","","","",""
"","","","","","Italy","Alberto AQUILANI","Italy","","","","","","","","","",""
"","","","","","Italy","Mattia PERIN","Italy","","","","","","","","","",""
"","","1.2km","0.6km","2.4km","Italy","Alessio CERCI","Italy","24.6km/h","0.67","","","","","","","",""
"","Group Stage","4.7km","4.5km","12.2km","Italy","Thiago MOTTA","Italy","24.9km/h","0.9","","","0","1","0","0","0","1"
"","","2.2km","1.2km","4.6km","Italy","Lorenzo INSIGNE","Italy","25.6km/h","0.62","","","0","1","0","0","0","1"
"","","3.0km","2.8km","8.1km","Italy","Marco PAROLO","Italy","28.8km/h","0.6","","","0","0","1","0","1","1"
"","","4.1km","3.4km","11.0km","Italy","Ciro IMMOBILE","Italy","29.4km/h","0.61","","","2","1","1","1","0","0"
"","","2.8km","1.9km","6.5km","Italy","Antonio CASSANO","Italy","29.8km/h","0.59","","","1","1","1","0","1","1"
"","","6.7km","5.2km","15.4km","Italy","Antonio CANDREVA","Italy","30.0km/h","0.67","","","1","3","2","0","2","4"
"","","3.7km","3.0km","9.4km","Italy","Ignazio ABATE","Italy","31.5km/h","0.77","","","","","","","",""
"-","","1.6km","1.6km","4.0km","Italy","Salvatore SIRIGU","Italy","20.6km/h","0.92","","0","","","","","",""
"-","Group Stage","12.9km","10.4km","31.4km","Italy","Andrea PIRLO","Italy","24.1km/h","0.9","","0","0","3","2","0","2","5"
"-","","8.1km","7.7km","20.8km","Italy","Daniele DE ROSSI","Italy","25.2km/h","0.94","","0","","","","","",""
"-","","3.1km","2.9km","9.2km","Italy","Leonardo BONUCCI","Italy","26.1km/h","0.8","","0","","","","","",""
"-","","3.9km","3.2km","10.5km","Italy","Mattia DE SCIGLIO","Italy","26.9km/h","0.65","","0","","","","","",""
"-","","6.9km","5.5km","16.5km","Italy","Marco VERRATTI","Italy","28.7km/h","0.93","","0","","","","","",""
"-","Group Stage","9.0km","6.0km","20.8km","Italy","Mario BALOTELLI","Italy","33.0km/h","0.65","0","0","3","3","4","2","2","4"
"0.25","","3.5km","3.0km","10.5km","Italy","Gianluigi BUFFON","Italy","22.5km/h","0.9","","4","","","","","",""
"0.34","Group Stage","10.7km","8.8km","26.0km","Italy","Claudio MARCHISIO","Italy","27.4km/h","0.78","0","3","0","0","2","0","2","2"
"0.6","","3.4km","3.8km","9.0km","Italy","Gabriel PALETTA","Italy","26.1km/h","0.88","","5","","","","","",""
"0.88","Group Stage","11.5km","10.8km","30.7km","Italy","Giorgio CHIELLINI","Italy","30.3km/h","0.91","","8","1","1","0","0","0","0"
"1","Group Stage","11.1km","10.7km","30.1km","Italy","Andrea BARZAGLI","Italy","29.1km/h","0.9","","3","0","0","1","0","1","1"
"1","Group Stage","12.7km","11.3km","32.1km","Italy","Matteo DARMIAN","Italy","29.1km/h","0.84","","8","1","1","2","1","1","2"
"","","","","","Japan","Gotoku SAKAI","Japan","","","","","","","","","",""
"","","","","","Japan","Hiroki SAKAI","Japan","","","","","","","","","",""
"","","","","","Japan","Manabu SAITO","Japan","","","","","","","","","",""
"","","","","","Japan","Masahiko INOHA","Japan","","","","","","","","","",""
"","","","","","Japan","Shuichi GONDA","Japan","","","","","","","","","",""
"","","","","","Japan","Shusaku NISHIKAWA","Japan","","","","","","","","","",""
"","","0.6km","0.5km","1.3km","Japan","Hiroshi KIYOTAKE","Japan","22.4km/h","0.83","","","","","","","",""
"","","2.7km","4.1km","9.5km","Japan","Masato MORISHIGE","Japan","26.3km/h","0.83","","","","","","","",""
"","","5.0km","4.4km","13.7km","Japan","Yuya OSAKO","Japan","27.4km/h","0.68","","","0","1","2","0","2","3"
"","","1.5km","1.1km","3.5km","Japan","Yoichiro KAKITANI","Japan","28.3km/h","0.5","","","1","0","1","1","0","0"
"-","","2.9km","2.5km","7.3km","Japan","Toshihiro AOYAMA","Japan","25.2km/h","0.63","","0","0","0","1","0","1","1"
"-","Group Stage","9.3km","6.2km","22.3km","Japan","Yoshito OKUBO","Japan","27.4km/h","0.85","","0","5","5","4","1","3","4"
"-","Group Stage","9.6km","8.2km","24.6km","Japan","Shinji KAGAWA","Japan","28.5km/h","0.74","","0","1","4","1","0","1","4"
"-","","3.5km","3.0km","9.4km","Japan","Yasuhito ENDO","Japan","29.1km/h","0.87","","0","0","0","2","0","2","2"
"-","Group Stage","13.2km","11.1km","33.7km","Japan","Yuto NAGATOMO","Japan","31.1km/h","0.72","","1","1","0","2","1","1","1"
"0.5","Group Stage","8.4km","7.6km","22.1km","Japan","Makoto HASEBE","Japan","26.9km/h","0.81","","2","0","1","1","0","1","2"
"0.5","Group Stage","10.1km","9.3km","27.7km","Japan","Shinji OKAZAKI","Japan","30.1km/h","0.6","0","2","2","1","1","1","0","0"
"0.88","Group Stage","10.2km","10.0km","29.2km","Japan","Maya YOSHIDA","Japan","29.2km/h","0.82","","8","2","1","1","1","0","0"
"1","Group Stage","3.3km","3.9km","10.8km","Japan","Eiji KAWASHIMA","Japan","20.5km/h","0.79","","2","","","","","",""
"1","","7.0km","5.7km","18.6km","Japan","Yasuyuki KONNO","Japan","28.5km/h","0.86","","1","0","0","1","0","1","1"
"1","Group Stage","8.6km","8.4km","23.0km","Japan","Hotaru YAMAGUCHI","Japan","29.4km/h","0.9","","3","0","1","1","0","1","2"
"1","Group Stage","11.3km","10.2km","29.8km","Japan","Atsuto UCHIDA","Japan","30.0km/h","0.73","","2","2","2","1","1","0","1"
"1","Group Stage","11.8km","10.3km","31.1km","Japan","Keisuke HONDA","Japan","30.3km/h","0.7","1","2","1","2","9","1","8","10"
"","","","","","Korea Republic","HA Daesung","Korea Republic","","","","","","","","","",""
"","","","","","Korea Republic","KIM Changsoo","Korea Republic","","","","","","","","","",""
"","","","","","Korea Republic","KWAK Taehwi","Korea Republic","","","","","","","","","",""
"","","","","","Korea Republic","LEE Bumyoung","Korea Republic","","","","","","","","","",""
"","","","","","Korea Republic","PARK Jongwoo","Korea Republic","","","","","","","","","",""
"","","","","","Korea Republic","PARK Jooho","Korea Republic","","","","","","","","","",""
"","","0.8km","0.9km","2.3km","Korea Republic","HWANG Seokho","Korea Republic","22.4km/h","0.89","","","","","","","",""
"","","1.9km","1.7km","5.0km","Korea Republic","KIM Bokyung","Korea Republic","23.6km/h","0.87","","","","","","","",""
"","","4.2km","3.5km","11.6km","Korea Republic","KIM Shinwook","Korea Republic","25.2km/h","0.68","","","1","1","1","1","0","1"
"","","2.1km","1.4km","4.9km","Korea Republic","JI Dongwon","Korea Republic","28.5km/h","0.67","","","1","1","1","1","0","1"
"","Group Stage","10.1km","9.6km","27.8km","Korea Republic","SON Heungmin","Korea Republic","28.5km/h","0.64","0","","2","2","3","1","2","3"
"-","","1.2km","1.2km","3.9km","Korea Republic","KIM Seunggyu","Korea Republic","13.7km/h","0.57","","0","","","","","",""
"-","","4.9km","4.4km","13.0km","Korea Republic","PARK Chuyoung","Korea Republic","24.9km/h","0.71","","0","1","0","1","1","0","0"
"-","Group Stage","9.2km","9.8km","27.0km","Korea Republic","HAN Kookyoung","Korea Republic","26.9km/h","0.82","","0","","","","","",""
"-","Group Stage","5.7km","4.7km","15.0km","Korea Republic","LEE Keunho","Korea Republic","28.1km/h","0.63","1","0","6","3","4","3","1","1"
"-","Group Stage","11.0km","10.4km","30.3km","Korea Republic","LEE Chungyong","Korea Republic","29.1km/h","0.77","","0","2","2","1","0","1","1"
"0.34","","2.5km","2.1km","7.4km","Korea Republic","JUNG Sungryong","Korea Republic","13.4km/h","0.58","","3","","","","","",""
"0.67","Group Stage","11.5km","11.6km","32.5km","Korea Republic","KI Sungyueng","Korea Republic","27.9km/h","0.8","","3","1","2","5","1","4","6"
"0.86","Group Stage","8.6km","9.3km","26.1km","Korea Republic","HONG Jeongho","Korea Republic","31.8km/h","0.81","","7","1","0","1","1","0","0"
"1","Group Stage","9.6km","10.0km","28.5km","Korea Republic","KIM Younggwon","Korea Republic","26.2km/h","0.87","","10","1","1","1","0","1","1"
"1","Group Stage","12.7km","11.7km","34.7km","Korea Republic","KOO Jacheol","Korea Republic","28.0km/h","0.76","0","2","3","1","5","3","2","3"
"1","Group Stage","11.8km","11.3km","31.9km","Korea Republic","LEE Yong","Korea Republic","29.4km/h","0.65","","4","1","0","1","1","0","0"
"1","Group Stage","11.1km","11.0km","31.1km","Korea Republic","YUN Sukyoung","Korea Republic","30.5km/h","0.69","","4","","","","","",""
"","","","","","Mexico","Alan PULIDO","Mexico","","","","","","","","","",""
"","","","","","Mexico","Alfredo TALAVERA","Mexico","","","","","","","","","",""
"","","","","","Mexico","Isaac BRIZUELA","Mexico","","","","","","","","","",""
"","","","","","Mexico","Jose CORONA","Mexico","","","","","","","","","",""
"","","","","","Mexico","Miguel PONCE","Mexico","","","","","","","","","",""
"","","0.3km","0.4km","1.1km","Mexico","Raul JIMENEZ","Mexico","23.8km/h","","","","1","0","1","1","0","0"
"","","0.4km","0.8km","1.8km","Mexico","Carlos PENA","Mexico","26.3km/h","1","","","","","","","",""
"","Knockout Round","3.3km","3.1km","10.3km","Mexico","Javier HERNANDEZ","Mexico","30.9km/h","0.57","0","","3","2","1","1","0","0"
"","Group Stage","2.1km","2.3km","6.3km","Mexico","Marco FABIAN","Mexico","31.8km/h","0.82","","","0","0","1","0","1","1"
"-","","1.3km","1.6km","4.3km","Mexico","Javier AQUINO","Mexico","27.6km/h","0.77","","0","0","0","1","0","1","1"
"-","Knockout Round","11.3km","10.6km","31.4km","Mexico","Giovani DOS SANTOS","Mexico","32.5km/h","0.77","0","0","2","0","6","2","4","4"
"0.2","Knockout Round","12.8km","14.4km","39.7km","Mexico","Paul AGUILAR","Mexico","31.1km/h","0.68","","5","1","0","1","1","0","0"
"0.34","Knockout Round","13.9km","15.1km","41.5km","Mexico","Andres GUARDADO","Mexico","30.9km/h","0.72","0","3","2","3","3","2","1","4"
"0.77","Knockout Round","11.5km","13.5km","37.4km","Mexico","Rafael MARQUEZ","Mexico","28.9km/h","0.79","1","13","3","2","1","1","0","0"
"0.8","Knockout Round","14.9km","15.5km","44.2km","Mexico","Hector HERRERA","Mexico","29.6km/h","0.72","","5","2","6","1","1","0","5"
"0.8","Knockout Round","13.5km","15.4km","41.5km","Mexico","Miguel LAYUN","Mexico","29.8km/h","0.67","","5","0","5","2","0","2","7"
"0.84","Knockout Round","4.6km","5.1km","16.2km","Mexico","Guillermo OCHOA","Mexico","22.5km/h","0.71","","6","","","","","",""
"0.84","","1.3km","2.0km","5.0km","Mexico","Diego REYES","Mexico","24.5km/h","0.83","","6","","","","","",""
"0.88","Knockout Round","10.2km","11.8km","32.3km","Mexico","Hector MORENO","Mexico","29.4km/h","0.76","","8","","","","","",""
"0.91","Knockout Round","12.0km","13.5km","38.3km","Mexico","Francisco RODRIGUEZ","Mexico","27.4km/h","0.78","","11","","","","","",""
"1","","3.6km","5.1km","11.9km","Mexico","Carlos SALCIDO","Mexico","25.4km/h","0.78","","1","0","1","1","0","1","2"
"1","Group Stage","9.9km","11.4km","31.0km","Mexico","Jose VAZQUEZ","Mexico","28.1km/h","0.91","","1","0","3","0","0","0","3"
"1","Knockout Round","10.4km","10.0km","30.9km","Mexico","Oribe PERALTA","Mexico","28.2km/h","0.71","1","2","4","2","3","2","1","1"
