"Clearance Rate","Colors","Distance Covered In Possession","Distance Covered Not In Possession","Distance Covered","Location","Name","Team","Top Speed","% Passes Completed","Assists","Attempted Clearances","Attempts In The Area","Attempts Off-Target","Attempts On Target","Attempts On-Target From Inside The Area","Attempts On-Target From Outside The Area","Attempts Outside The Area"
"","","0.0km","0.0km","0.1km","Netherlands","Michel VORM","Netherlands","11.3km/h","1","","","","","","","",""
"","","0.0km","0.0km","0.1km","Netherlands","Tim KRUL","Netherlands","17.7km/h","","","","","","","","",""
"","","0.1km","0.2km","0.6km","Netherlands","Terence KONGOLO","Netherlands","27.2km/h","","","","","","","","",""
"","Group Stage","9.9km","11.2km","28.5km","Netherlands","Jonathan DE GUZMAN","Netherlands","28.7km/h","0.78","","","0","1","0","0","0","1"
"-","","2.5km","2.6km","6.7km","Netherlands","Paul VERHAEGH","Netherlands","23.9km/h","0.84","","0","","","","","",""
"-","Group Stage","2.9km","2.0km","7.4km","Netherlands","Klaas Jan HUNTELAAR","Netherlands","27.2km/h","0.83","1","0","1","0","1","1","0","0"
"-","Semi Finals","27.3km","24.7km","69.6km","Netherlands","Wesley SNEIJDER","Netherlands","30.2km/h","0.72","1","0","4","6","12","3","9","14"
"-","Knockout Round","5.1km","4.7km","14.6km","Netherlands","Jeremain LENS","Netherlands","30.3km/h","0.56","","0","1","1","3","1","2","3"
"-","Top 4","31.0km","25.8km","79.3km","Netherlands","Arjen ROBBEN","Netherlands","32.2km/h","0.7","1","0","14","1","19","13","6","6"
"0.5","Semi Finals","24.9km","18.8km","62.3km","Netherlands","Robin VAN PERSIE","Netherlands","30.2km/h","0.59","0","6","11","3","13","8","5","5"
"0.67","Semi Finals","17.4km","19.7km","50.4km","Netherlands","Bruno MARTINS INDI","Netherlands","30.3km/h","0.89","","3","","","","","",""
"0.75","Quarter Finals","12.8km","15.0km","38.7km","Netherlands","Nigel DE JONG","Netherlands","28.5km/h","0.84","","4","1","0","2","1","1","1"
"0.87","Top 4","25.2km","28.5km","74.6km","Netherlands","Ron VLAAR","Netherlands","33.0km/h","0.83","","29","4","3","1","1","0","0"
"0.88","Top 4","27.5km","28.2km","75.7km","Netherlands","Daley BLIND","Netherlands","27.5km/h","0.82","2","8","1","2","1","1","0","2"
"0.88","Quarter Finals","20.7km","20.4km","58.9km","Netherlands","Dirk KUYT","Netherlands","29.9km/h","0.71","","8","3","2","2","1","1","1"
"0.92","Top 4","23.9km","27.6km","71.5km","Netherlands","Stefan DE VRIJ","Netherlands","28.5km/h","0.82","0","12","4","3","2","2","0","1"
"1","","0.5km","0.8km","2.0km","Netherlands","Leroy FER","Netherlands","22.0km/h","1","0","2","1","0","1","1","0","0"
"1","Top 4","13.5km","12.4km","37.1km","Netherlands","Jasper CILLESSEN","Netherlands","22.3km/h","0.7","","5","","","","","",""
"1","","5.6km","6.6km","16.4km","Netherlands","Jordy CLASIE","Netherlands","24.1km/h","0.86","","2","0","1","0","0","0","1"
"1","","0.9km","0.9km","2.6km","Netherlands","Joel VELTMAN","Netherlands","27.2km/h","0.71","","1","","","","","",""
"1","Top 4","23.4km","23.3km","64.9km","Netherlands","Georginio WIJNALDUM","Netherlands","28.7km/h","0.84","0","5","3","2","2","2","0","1"
"1","Quarter Finals","15.9km","17.1km","44.8km","Netherlands","Daryl JANMAAT","Netherlands","30.0km/h","0.75","","6","","","","","",""
"1","Knockout Round","8.1km","5.7km","19.6km","Netherlands","Memphis DEPAY","Netherlands","30.7km/h","0.71","1","1","2","1","5","2","3","4"
"","","","","","Nigeria","Austine EJIDE","Nigeria","","","","","","","","","",""
"","","","","","Nigeria","Azubuike EGWUEKWE","Nigeria","","","","","","","","","",""
"","","","","","Nigeria","Chigozie AGBIM","Nigeria","","","","","","","","","",""
"","","","","","Nigeria","Ebenezer ODUNLAMI","Nigeria","","","","","","","","","",""
"","","1.3km","1.4km","3.9km","Nigeria","Ruben GABRIEL","Nigeria","23.1km/h","1","","","","","","","",""
"","","0.9km","0.6km","2.1km","Nigeria","Uche NWOFOR","Nigeria","23.8km/h","0.83","","","","","","","",""
"","","1.2km","0.7km","2.6km","Nigeria","Godfrey OBOABONA","Nigeria","25.2km/h","0.96","","","","","","","",""
"","","4.1km","2.3km","9.1km","Nigeria","Ramon AZEEZ","Nigeria","25.7km/h","0.77","","","","","","","",""
"-","","0.8km","0.9km","2.3km","Nigeria","Ejike UZOENYI","Nigeria","23.3km/h","","","0","0","1","0","0","0","1"
"-","","2.9km","2.3km","7.7km","Nigeria","Shola AMEOBI","Nigeria","24.9km/h","0.67","","0","1","0","2","1","1","1"
"-","","1.5km","1.4km","3.8km","Nigeria","Okechukwu UCHEBO","Nigeria","26.1km/h","0.64","","0","0","0","1","0","1","1"
"-","","6.0km","7.8km","17.5km","Nigeria","Michael BABATUNDE","Nigeria","26.5km/h","0.66","","0","0","0","2","0","2","2"
"-","Knockout Round","12.6km","12.5km","34.2km","Nigeria","Ahmed MUSA","Nigeria","31.2km/h","0.45","0","0","3","1","7","3","4","5"
"0.74","Knockout Round","13.4km","14.2km","38.2km","Nigeria","Efe AMBROSE","Nigeria","30.1km/h","0.77","","15","1","1","0","0","0","0"
"0.84","Knockout Round","9.8km","11.6km","30.9km","Nigeria","Joseph YOBO","Nigeria","28.3km/h","0.87","","18","","","","","",""
"0.84","Knockout Round","11.3km","12.2km","33.1km","Nigeria","Peter ODEMWINGIE","Nigeria","31.6km/h","0.75","0","6","2","2","5","2","3","5"
"1","Knockout Round","3.7km","4.8km","12.7km","Nigeria","Vincent ENYEAMA","Nigeria","20.3km/h","0.65","","3","","","","","",""
"1","Knockout Round","14.0km","14.1km","38.1km","Nigeria","Juwon OSHANIWA","Nigeria","28.1km/h","0.71","","5","","","","","",""
"1","Knockout Round","13.9km","14.6km","39.5km","Nigeria","John Obi MIKEL","Nigeria","28.5km/h","0.77","","6","1","1","2","1","1","2"
"1","Knockout Round","11.8km","13.9km","35.7km","Nigeria","Kenneth OMERUO","Nigeria","30.7km/h","0.8","","14","","","","","",""
"1","Knockout Round","14.3km","12.6km","38.5km","Nigeria","Emmanuel EMENIKE","Nigeria","30.9km/h","0.56","","1","4","6","5","3","2","7"
"1","Knockout Round","12.8km","14.5km","36.5km","Nigeria","Ogenyi ONAZI","Nigeria","30.9km/h","0.81","","2","2","6","6","0","6","10"
"1","","6.4km","4.4km","15.8km","Nigeria","Victor MOSES","Nigeria","31.4km/h","0.63","","1","1","0","2","1","1","1"
"","","","","","Portugal","Luis NETO","Portugal","","","","","","","","","",""
"","","","","","Portugal","RAFA","Portugal","","","","","","","","","",""
"","","0.9km","0.5km","1.9km","Portugal","Helder POSTIGA","Portugal","21.2km/h","1","","","","","","","",""
"","","0.9km","1.2km","2.9km","Portugal","Hugo ALMEIDA","Portugal","24.5km/h","0.67","","","1","0","1","1","0","0"
"","","1.2km","1.1km","3.1km","Portugal","VIEIRINHA","Portugal","26.1km/h","0.53","","","","","","","",""
"","","2.8km","2.0km","6.9km","Portugal","VARELA","Portugal","27.4km/h","0.74","0","","2","1","2","2","0","1"
"","","4.2km","3.8km","11.3km","Portugal","Ruben AMORIM","Portugal","27.8km/h","0.74","","","1","1","0","0","0","0"
"","Group Stage","8.7km","7.8km","22.9km","Portugal","EDER","Portugal","31.4km/h","0.82","","","5","5","2","1","1","2"
"-","","1.9km","2.1km","5.6km","Portugal","Rui PATRICIO","Portugal","21.7km/h","0.69","","0","","","","","",""
"-","","5.8km","6.1km","16.5km","Portugal","WILLIAM","Portugal","25.8km/h","0.86","","0","","","","","",""
"-","Group Stage","11.5km","12.2km","32.9km","Portugal","Joao MOUTINHO","Portugal","27.0km/h","0.85","","1","0","2","0","0","0","2"
"-","","4.6km","5.8km","14.1km","Portugal","Ricardo COSTA","Portugal","27.2km/h","0.89","","2","","","","","",""
"-","","1.1km","0.7km","2.8km","Portugal","EDUARDO","Portugal","29.1km/h","0.89","","0","1","0","1","1","0","0"
"-","","6.5km","7.7km","18.8km","Portugal","Raul MEIRELES","Portugal","29.6km/h","0.83","","0","2","1","1","1","0","0"
"-","Group Stage","11.2km","9.1km","28.2km","Portugal","CRISTIANO RONALDO","Portugal","31.2km/h","0.73","1","0","9","9","14","5","9","14"
"-","","3.2km","3.3km","8.2km","Portugal","Andre ALMEIDA","Portugal","31.6km/h","0.84","","1","","","","","",""
"-","","2.2km","2.8km","6.7km","Portugal","Fabio COENTRAO","Portugal","32.2km/h","0.83","","0","","","","","",""
"0.5","Group Stage","10.0km","11.4km","29.4km","Portugal","Bruno ALVES","Portugal","27.8km/h","0.84","","6","","","","","",""
"1","","3.7km","3.9km","11.2km","Portugal","BETO","Portugal","25.9km/h","0.78","","4","","","","","",""
"1","Group Stage","10.5km","11.0km","28.4km","Portugal","Joao PEREIRA","Portugal","26.9km/h","0.78","","1","","","","","",""
"1","","4.7km","5.2km","14.4km","Portugal","PEPE","Portugal","27.7km/h","0.79","","3","","","","","",""
"1","Group Stage","12.5km","11.4km","32.3km","Portugal","NANI","Portugal","29.8km/h","0.65","0","1","3","6","6","2","4","9"
"1","Group Stage","9.5km","10.3km","26.9km","Portugal","Miguel VELOSO","Portugal","30.1km/h","0.77","","1","0","0","2","0","2","2"
"","","","","","Russia","Alexey IONOV","Russia","","","","","","","","","",""
"","","","","","Russia","Andrey SEMENOV","Russia","","","","","","","","","",""
"","","","","","Russia","Georgy SHCHENNIKOV","Russia","","","","","","","","","",""
"","","","","","Russia","Pavel MOGILEVETC","Russia","","","","","","","","","",""
"","","","","","Russia","Sergey RYZHIKOV","Russia","","","","","","","","","",""
"","","","","","Russia","Vladimir GRANAT","Russia","","","","","","","","","",""
"","","","","","Russia","Yury LODYGIN","Russia","","","","","","","","","",""
"","Group Stage","3.8km","3.0km","9.5km","Russia","Alan DZAGOEV","Russia","27.2km/h","0.76","","","1","1","1","1","0","1"
"","","2.8km","3.3km","8.4km","Russia","Yury ZHIRKOV","Russia","28.7km/h","0.69","","","0","1","0","0","0","1"
"-","","3.2km","2.9km","8.4km","Russia","Igor DENISOV","Russia","23.9km/h","0.93","","0","0","0","2","0","2","2"
"-","Group Stage","10.5km","10.6km","27.7km","Russia","Oleg SHATOV","Russia","28.9km/h","0.76","","1","0","1","1","0","1","2"
"-","Group Stage","4.5km","4.2km","12.0km","Russia","Aleksandr KERZHAKOV","Russia","29.6km/h","0.35","0","0","3","1","3","3","0","1"
"-","Group Stage","12.5km","12.2km","33.3km","Russia","Alexander SAMEDOV","Russia","29.8km/h","0.63","","0","2","1","1","1","0","0"
"0.5","","5.3km","5.7km","14.8km","Russia","Andrey ESHCHENKO","Russia","29.2km/h","0.78","","2","0","1","2","0","2","3"
"0.75","Group Stage","10.6km","11.2km","30.3km","Russia","Sergey IGNASHEVICH","Russia","28.0km/h","0.76","","4","1","1","1","0","1","1"
"1","Group Stage","3.5km","3.3km","10.1km","Russia","Igor AKINFEEV","Russia","24.2km/h","0.68","","5","","","","","",""
"1","Group Stage","11.0km","11.6km","31.8km","Russia","Vasily BEREZUTSKIY","Russia","28.5km/h","0.82","","5","1","1","0","0","0","0"
"1","Group Stage","13.3km","12.7km","35.3km","Russia","Alexander KOKORIN","Russia","29.0km/h","0.7","0","1","6","5","3","1","2","2"
"1","Group Stage","13.5km","13.3km","35.8km","Russia","Victor FAYZULIN","Russia","29.1km/h","0.81","","2","1","1","3","0","3","3"
"1","Group Stage","9.1km","9.9km","25.8km","Russia","Denis GLUSHAKOV","Russia","29.2km/h","0.74","","1","1","2","2","0","2","3"
"1","","7.0km","7.2km","18.6km","Russia","Aleksei KOZLOV","Russia","29.4km/h","0.7","","3","","","","","",""
"1","Group Stage","11.9km","11.8km","32.8km","Russia","Dmitry KOMBAROV","Russia","30.2km/h","0.64","","6","1","0","2","1","1","1"
"1","","4.9km","4.7km","13.1km","Russia","Maksim KANUNNIKOV","Russia","31.1km/h","0.65","","2","1","0","2","1","1","1"
"","","","","","Spain","David DE GEA","Spain","","","","","","","","","",""
"","","2.1km","1.6km","4.8km","Spain","Pepe REINA","Spain","19.2km/h","0.79","","","","","","","",""
"","","4.7km","3.6km","11.1km","Spain","Xavi HERNANDEZ","Spain","23.1km/h","0.94","","","","","","","",""
"","","5.9km","3.5km","12.9km","Spain","Diego COSTA","Spain","25.4km/h","0.73","","","4","2","2","2","0","0"
"","Group Stage","13.3km","9.6km","30.5km","Spain","Andres INIESTA","Spain","25.6km/h","0.82","","","0","1","3","0","3","4"
"","Group Stage","7.1km","5.5km","17.2km","Spain","Fernando TORRES","Spain","30.3km/h","0.58","0","","2","0","2","2","0","0"
"","Group Stage","13.7km","10.4km","31.8km","Spain","Jordi ALBA","Spain","31.6km/h","0.82","","","2","2","1","1","0","1"
"-","","4.6km","3.5km","10.6km","Spain","Santi CAZORLA","Spain","26.3km/h","0.85","","0","1","0","3","1","2","2"
"-","Group Stage","10.3km","7.6km","23.4km","Spain","Xabi ALONSO","Spain","27.1km/h","0.86","0","1","3","1","2","2","0","0"
"-","","8.6km","6.7km","20.6km","Spain","Sergio BUSQUETS","Spain","28.9km/h","0.91","","0","1","1","0","0","0","0"
"-","","5.1km","3.5km","11.9km","Spain","Pedro RODRIGUEZ","Spain","29.4km/h","0.61","","0","1","0","1","1","0","0"
"-","","2.1km","1.3km","4.5km","Spain","Juan MATA","Spain","31.1km/h","0.91","0","0","2","0","2","2","0","0"
"-","","2.6km","1.8km","5.8km","Spain","David VILLA","Spain","31.2km/h","0.65","0","0","1","0","1","1","0","0"
"-","","8.2km","6.4km","19.4km","Spain","Cesar AZPILICUETA","Spain","31.6km/h","0.78","","1","","","","","",""
"0.5","","3.3km","3.3km","9.2km","Spain","Gerard PIQUE","Spain","26.5km/h","0.84","","2","","","","","",""
"0.8","Group Stage","12.1km","9.9km","29.7km","Spain","Sergio RAMOS","Spain","29.4km/h","0.84","","5","3","3","3","2","1","3"
"1","","2.2km","2.3km","6.2km","Spain","Iker CASILLAS","Spain","23.9km/h","0.83","","2","","","","","",""
"1","","4.3km","3.4km","10.0km","Spain","Raul ALBIOL","Spain","23.9km/h","0.76","","2","","","","","",""
"1","Group Stage","9.6km","6.3km","21.2km","Spain","David SILVA","Spain","28.3km/h","0.82","","1","1","1","2","1","1","2"
"1","","8.2km","6.5km","19.0km","Spain","KOKE","Spain","29.2km/h","0.89","","1","1","1","1","1","0","1"
"1","","4.8km","3.4km","10.6km","Spain","JUANFRAN","Spain","29.6km/h","0.69","","2","","","","","",""
"1","","2.5km","1.7km","5.4km","Spain","Cesc FABREGAS","Spain","29.8km/h","0.82","","1","","","","","",""
"1","","4.0km","2.8km","9.5km","Spain","Javi MARTINEZ","Spain","31.6km/h","0.92","","3","","","","","",""
"","","","","","Switzerland","Mario GAVRANOVIC","Switzerland","","","","","","","","","",""
"","","","","","Switzerland","Reto ZIEGLER","Switzerland","","","","","","","","","",""
"","","","","","Switzerland","Roman BUERKI","Switzerland","","","","","","","","","",""
"","","","","","Switzerland","Tranquillo BARNETTA","Switzerland","","","","","","","","","",""
"","","","","","Switzerland","Yann SOMMER","Switzerland","","","","","","","","","",""
"","","2.4km","1.7km","5.7km","Switzerland","Valentin STOCKER","Switzerland","22.7km/h","0.75","","","1","1","0","0","0","0"
"","","0.7km","1.0km","2.1km","Switzerland","Michael LANG","Switzerland","25.0km/h","0.57","","","","","","","",""
"","","3.7km","3.4km","9.8km","Switzerland","Steve VON BERGEN","Switzerland","30.5km/h","0.73","","","","","","","",""
"","Knockout Round","10.0km","10.2km","29.1km","Switzerland","Josip DRMIC","Switzerland","31.2km/h","0.69","","","4","1","4","3","1","1"
"-","Knockout Round","14.4km","14.9km","40.6km","Switzerland","Granit XHAKA","Switzerland","27.9km/h","0.78","0","0","5","5","6","3","3","6"
"-","Knockout Round","15.8km","16.4km","45.8km","Switzerland","Xherdan SHAQIRI","Switzerland","28.9km/h","0.75","0","1","6","5","16","4","12","15"
"-","Knockout Round","13.4km","15.5km","40.3km","Switzerland","Admir MEHMEDI","Switzerland","31.6km/h","0.68","0","1","4","1","4","3","1","1"
"0.5","Knockout Round","16.0km","17.7km","46.1km","Switzerland","Stephan LICHTSTEINER","Switzerland","29.8km/h","0.76","","4","0","1","1","0","1","2"
"0.58","Knockout Round","12.2km","15.1km","38.5km","Switzerland","Johan DJOUROU","Switzerland","29.8km/h","0.89","","21","","","","","",""
"0.67","Knockout Round","6.9km","7.8km","22.0km","Switzerland","Diego BENAGLIO","Switzerland","23.9km/h","0.58","","6","","","","","",""
"0.72","Knockout Round","14.0km","16.5km","41.3km","Switzerland","Ricardo RODRIGUEZ","Switzerland","30.5km/h","0.76","","14","0","1","2","0","2","3"
"0.84","Knockout Round","15.9km","18.1km","47.1km","Switzerland","Gokhan INLER","Switzerland","28.5km/h","0.8","","6","0","4","3","0","3","7"
"0.89","","5.6km","8.9km","20.9km","Switzerland","Fabian SCHAER","Switzerland","29.2km/h","0.66","","18","1","1","0","0","0","0"
"1","","3.1km","2.7km","8.3km","Switzerland","Philippe SENDEROS","Switzerland","25.5km/h","0.89","","1","","","","","",""
"1","Group Stage","2.6km","2.1km","7.0km","Switzerland","Blerim DZEMAILI","Switzerland","28.3km/h","0.86","0","1","2","3","1","0","1","2"
"1","","2.4km","3.3km","8.1km","Switzerland","Gelson FERNANDES","Switzerland","28.5km/h","0.77","","1","","","","","",""
"1","Knockout Round","6.8km","6.3km","18.5km","Switzerland","Haris SEFEROVIC","Switzerland","30.9km/h","0.8","0","2","2","2","2","1","1","2"
"1","Knockout Round","12.7km","17.8km","41.8km","Switzerland","Valon BEHRAMI","Switzerland","31.2km/h","0.82","","1","1","0","1","1","0","0"
"","","","","","Uruguay","Diego PEREZ","Uruguay","","","","","","","","","",""
"","","","","","Uruguay","Martin SILVA","Uruguay","","","","","","","","","",""
"","","","","","Uruguay","Rodrigo MUNOZ","Uruguay","","","","","","","","","",""
"","","0.4km","0.6km","1.7km","Uruguay","Jorge FUCILE","Uruguay","24.6km/h","0.5","","","","","","","",""
"","","2.1km","2.2km","6.7km","Uruguay","Walter GARGANO","Uruguay","26.7km/h","0.8","","","","","","","",""
"","","4.0km","4.6km","13.1km","Uruguay","Diego FORLAN","Uruguay","27.4km/h","0.68","","","2","3","1","1","0","2"
"","","1.4km","0.9km","4.6km","Uruguay","Abel HERNANDEZ","Uruguay","27.9km/h","0.67","","","","","","","",""
"-","Knockout Round","7.2km","7.0km","22.9km","Uruguay","Cristhian STUANI","Uruguay","27.9km/h","0.64","","1","2","1","1","1","0","0"
"-","","2.7km","2.4km","7.9km","Uruguay","Gaston RAMIREZ","Uruguay","31.4km/h","0.77","","0","0","0","1","0","1","1"
"-","","0.2km","0.3km","0.8km","Uruguay","Sebastian COATES","Uruguay","31.6km/h","0.67","","0","","","","","",""
"0.5","Group Stage","6.0km","7.7km","20.4km","Uruguay","Nicolas LODEIRO","Uruguay","26.7km/h","0.69","","2","0","0","1","0","1","1"
"0.67","Knockout Round","9.4km","12.9km","36.2km","Uruguay","Diego GODIN","Uruguay","30.9km/h","0.78","0","12","2","1","1","1","0","0"
"0.72","Knockout Round","11.2km","13.7km","38.8km","Uruguay","Martin CACERES","Uruguay","30.9km/h","0.77","","7","0","2","2","0","2","4"
"0.84","Knockout Round","11.1km","15.1km","39.8km","Uruguay","Egidio AREVALO","Uruguay","27.8km/h","0.84","","6","0","0","2","0","2","2"
"0.86","Group Stage","6.9km","10.4km","27.3km","Uruguay","Jose GIMENEZ","Uruguay","31.1km/h","0.66","","7","1","1","0","0","0","0"
"0.86","Knockout Round","10.3km","12.9km","36.6km","Uruguay","Cristian RODRIGUEZ","Uruguay","32.0km/h","0.69","","7","3","2","2","1","1","1"
"1","Knockout Round","3.1km","4.0km","12.8km","Uruguay","Fernando MUSLERA","Uruguay","20.7km/h","0.6","","1","","","","","",""
"1","","2.6km","2.6km","9.0km","Uruguay","Diego LUGANO","Uruguay","22.7km/h","0.79","","2","","","","","",""
"1","Group Stage","8.7km","8.9km","26.8km","Uruguay","Maximiliano PEREIRA","Uruguay","27.4km/h","0.7","","2","1","0","1","1","0","0"
"1","","5.3km","6.3km","18.1km","Uruguay","Luis SUAREZ","Uruguay","28.7km/h","0.47","0","1","4","3","9","4","5","8"
"1","Knockout Round","9.5km","12.5km","32.1km","Uruguay","Alvaro GONZALEZ","Uruguay","29.4km/h","0.73","","3","0","0","3","0","3","3"
"1","Knockout Round","12.1km","15.3km","42.7km","Uruguay","Edinson CAVANI","Uruguay","31.0km/h","0.75","1","2","7","7","5","2","3","5"
"1","Group Stage","5.4km","8.6km","21.4km","Uruguay","Alvaro PEREIRA","Uruguay","33.1km/h","0.58","","5","","","","","",""
"","","","","","USA","Brad GUZAN","USA","","","","","","","","","",""
"","","","","","USA","Mix DISKERUD","USA","","","","","","","","","",""
"","","","","","USA","Nick RIMANDO","USA","","","","","","","","","",""
"","","","","","USA","Timmy CHANDLER","USA","","","","","","","","","",""
"","","0.7km","0.9km","2.4km","USA","Jozy ALTIDORE","USA","23.5km/h","0.43","","","1","0","1","1","0","0"
"","","1.0km","0.6km","2.1km","USA","Julian GREEN","USA","24.1km/h","0.8","0","","1","0","1","1","0","0"
"","","2.6km","3.5km","9.1km","USA","Aron JOHANNSSON","USA","26.5km/h","0.8","","","0","0","1","0","1","1"
"-","","3.1km","2.4km","8.0km","USA","Chris WONDOLOWSKI","USA","24.1km/h","0.82","","0","1","1","0","0","0","0"
"-","","2.4km","3.5km","7.7km","USA","Brad DAVIS","USA","28.3km/h","0.79","","0","","","","","",""
"-","Group Stage","5.3km","5.8km","15.4km","USA","DeAndre YEDLIN","USA","31.6km/h","0.73","","0","","","","","",""
"-","Knockout Round","11.9km","15.1km","37.8km","USA","Alejandro BEDOYA","USA","32.3km/h","0.76","","1","1","1","2","1","1","2"
"0.25","Knockout Round","15.1km","18.9km","47.6km","USA","Jermaine JONES","USA","31.6km/h","0.65","0","4","2","4","6","0","6","8"
"0.5","Knockout Round","11.3km","15.5km","37.9km","USA","Matt BESLER","USA","29.1km/h","0.84","","12","","","","","",""
"0.67","Group Stage","11.4km","13.3km","35.6km","USA","Geoff CAMERON","USA","27.6km/h","0.7","","6","","","","","",""
"0.75","Knockout Round","10.6km","15.0km","34.9km","USA","Fabian JOHNSON","USA","33.0km/h","0.72","","4","1","1","1","1","0","1"
"0.84","Group Stage","9.6km","14.9km","33.4km","USA","Kyle BECKERMAN","USA","26.3km/h","0.89","","6","0","0","1","0","1","1"
"0.86","Knockout Round","15.3km","16.1km","45.4km","USA","Clint DEMPSEY","USA","28.8km/h","0.74","0","7","8","3","9","6","3","4"
"0.92","Group Stage","7.6km","10.4km","24.6km","USA","Omar GONZALEZ","USA","26.8km/h","0.77","","12","","","","","",""
"1","Knockout Round","5.1km","6.9km","18.6km","USA","Tim HOWARD","USA","25.7km/h","0.8","","6","","","","","",""
"1","","1.4km","2.0km","5.0km","USA","John BROOKS","USA","26.9km/h","0.58","0","1","1","0","1","1","0","0"
"1","Knockout Round","11.4km","13.8km","33.7km","USA","Graham ZUSI","USA","30.1km/h","0.68","","2","1","1","1","1","0","1"
"1","Knockout Round","13.0km","18.5km","42.8km","USA","DaMarcus BEASLEY","USA","30.2km/h","0.77","","6","0","1","0","0","0","1"
"1","Knockout Round","19.0km","21.2km","54.7km","USA","Michael BRADLEY","USA","30.9km/h","0.83","","2","2","2","3","2","1","3"
